ƒлина   оличество  —лово   Ќќƒ  ѕоложение (рассто€ние)
=====  ==========  =====   ===  ======================
     3      3           н       4  6 1634 (1628) 3934 (2300) 
     3      3         но€       4  8 2952 (2944) 3308 (356) 
     3      4          нм       5  11 646 (635) 1226 (580) 2066 (840) 
     3      4         нме       5  12 1227 (1215) 2067 (840) 3257 (1190) 
     3      3          зв       3  16 391 (375) 5413 (5022) 
     3      3         уу        5  42 2852 (2810) 3887 (1035) 
     3      3         тот       3  94 2053 (1959) 2632 (579) 
     3      3         дхо       2  102 2892 (2790) 3550 (658) 
     3      3         очт       3  104 197 (93) 4757 (4560) 
     3      8         д л       5  120 1590 (1470) 1615 (25) 2705 (1090) 3225 (520) 4365 (1140) 4825 (460) 4945 (120) 
     3      8          л’       5  121 1591 (1470) 1616 (25) 2706 (1090) 3226 (520) 4366 (1140) 4826 (460) 4946 (120) 
     3      8         л’о       5  122 1592 (1470) 1617 (25) 2707 (1090) 3227 (520) 4367 (1140) 4827 (460) 4947 (120) 
     3      4          ет       5  127 827 (700) 3232 (2405) 4952 (1720) 
     3      3         вƒа       5  132 2247 (2115) 4957 (2710) 
     3      3         днс       5  136 2251 (2115) 4961 (2710) 
     3      3         нсо       5  137 2252 (2115) 4962 (2710) 
     3      3         е л       2  146 3480 (3334) 4598 (1118) 
     3      3         лин       5  148 483 (335) 2183 (1700) 
     3      3         овм       4  164 716 (552) 4336 (3620) 
     3      4         вм        4  165 717 (552) 1197 (480) 4337 (3140) 
     3      4         опр       5  172 552 (380) 937 (385) 4477 (3540) 
     3      3          а-      10  175 2725 (2550) 4385 (1660) 
     3      3         а-.      10  176 2726 (2550) 4386 (1660) 
     3      4         нле       5  247 2092 (1845) 4647 (2555) 4812 (165) 
     3      3         ив        3  268 439 (171) 4402 (3963) 
     3      3         ист       5  312 557 (245) 602 (45) 
     3      3         да        2  317 3189 (2872) 3863 (674) 
     3      3         а т      56  318 2390 (2072) 3454 (1064) 
     3      3         овт       2  325 741 (416) 1051 (310) 
     3      5          п        5  333 1208 (875) 3428 (2220) 3553 (125) 4583 (1030) 
     3      3          ра       2  352 2710 (2358) 4370 (1660) 
     3      3         се       13  377 3770 (3393) 4992 (1222) 
     3      3          €,      10  387 1337 (950) 3267 (1930) 
     3      3         во        2  393 949 (556) 4623 (3674) 
     3      4         .о        2  409 3391 (2982) 3959 (568) 4331 (372) 
     3      3         ,но      60  467 707 (240) 4847 (4140) 
     3      3         нор       4  468 4312 (3844) 4848 (536) 
     3      4         нл        5  499 984 (485) 2569 (1585) 3014 (445) 
     3      3         кот       5  502 897 (395) 1557 (660) 
     3      3         ћ.        7  512 1667 (1155) 4495 (2828) 
     3      3         а к       5  517 3752 (3235) 4792 (1040) 
     3      3         мна      15  527 1007 (480) 5072 (4065) 
     3      3         тоа       4  540 1056 (516) 4196 (3140) 
     3      3          оп       5  551 936 (385) 4476 (3540) 
     3      3         тно       3  560 2951 (2391) 3446 (495) 
     3      3         ное       2  561 2765 (2204) 3699 (934) 
     3      5         к о       2  564 3402 (2838) 3714 (312) 4016 (302) 4906 (890) 
     3      3         ч,       20  592 3412 (2820) 5052 (1640) 
     3      3          рс      15  606 951 (345) 1236 (285) 
     3      5          у,       5  622 1132 (510) 2912 (1780) 3247 (335) 4292 (1045) 
     3      3          ой       7  638 3802 (3164) 4467 (665) 
     3      3         ыо        5  681 1036 (355) 4911 (3875) 
     3      3         тле       3  692 3497 (2805) 4490 (993) 
     3      3         етн       2  695 1623 (928) 3445 (1822) 
     3      5          н,       5  705 995 (290) 2860 (1865) 3935 (1075) 4845 (910) 
     3      3         н,н      10  706 3936 (3230) 4846 (910) 
     3      3         тну       5  722 1312 (590) 1467 (155) 
     3      3         с€        5  727 1627 (900) 5462 (3835) 
     3      9           -       5  782 1782 (1000) 1922 (140) 2762 (840) 4082 (1320) 4097 (15) 4497 (400) 4922 (425) 5017 (95) 
     3      3         и€л       5  791 1791 (1000) 5206 (3415) 
     3      5         €лс       5  792 1352 (560) 1792 (440) 3507 (1715) 5207 (1700) 
     3      3         дƒи       5  795 1800 (1005) 3110 (1310) 
     3      3         ƒиа       5  796 1801 (1005) 3111 (1310) 
     3      3         иав       5  797 1802 (1005) 3112 (1310) 
     3      3         ав        5  798 1803 (1005) 2858 (1055) 
     3      3         а “       5  807 1222 (415) 2792 (1570) 
     3      4         адв       2  819 1371 (552) 1541 (170) 3911 (2370) 
     3      3         ижн      15  835 4060 (3225) 5065 (1005) 
     3      3         жни      15  836 4061 (3225) 5066 (1005) 
     3      5         . 
      15  841 1366 (525) 1846 (480) 2446 (600) 4066 (1620) 
     3      4          
-      15  842 1367 (525) 1847 (480) 4067 (2220) 
     3      3         мто       2  857 1567 (710) 5145 (3578) 
     3      3         д у       2  866 3420 (2554) 3756 (336) 
     3      3         м.а      10  870 1220 (350) 2790 (1570) 
     3      3         .а       10  871 1221 (350) 2791 (1570) 
     3      3         лпо       5  877 2137 (1260) 2882 (745) 
     3      3         лде       5  887 1777 (890) 5012 (3235) 
     3      4          ур       5  894 1214 (320) 1839 (625) 2784 (945) 
     3      4         урк       5  895 1215 (320) 1840 (625) 2785 (945) 
     3      4         отт       2  898 1890 (992) 2384 (494) 5140 (2756) 
     3      3         ь л       5  920 2845 (1925) 3880 (1035) 
     3      3          лд       5  921 1776 (855) 5011 (3235) 
     3      3         иан       5  962 1107 (145) 5447 (4340) 
     3      3         аев       5  990 3745 (2755) 4190 (445) 
     3      3         а        21  1004 2663 (1659) 3146 (483) 
     3      3         пдр       5  1011 1996 (985) 5076 (3080) 
     3      3         дри       3  1012 2548 (1536) 5077 (2529) 
     3      4          го      10  1032 2172 (1140) 3772 (1600) 4882 (1110) 
     3      3         .ми       3  1040 2267 (1227) 4895 (2628) 
     3      5         иал       5  1042 2377 (1335) 2597 (220) 3432 (835) 4877 (1445) 
     3      4          ь-       5  1080 2115 (1035) 4450 (2335) 4780 (330) 
     3      3         , е       5  1083 2518 (1435) 3413 (895) 
     3      3         со       55  1089 2134 (1045) 2354 (220) 
     3      3          кн       2  1091 1823 (732) 3753 (1930) 
     3      3         оор      36  1097 3581 (2484) 4481 (900) 
     3      3         д т      10  1124 3074 (1950) 4164 (1090) 
     3      8         -.
       5  1127 1517 (390) 1752 (235) 2727 (975) 3077 (350) 4387 (1310) 4452 (65) 4782 (330) 
     3      3         .
л       5  1128 1173 (45) 2198 (1025) 
     3      3         аод       2  1136 2832 (1696) 3302 (470) 
     3      3         € о       2  1163 1729 (566) 2603 (874) 
     3      3         ид        2  1168 2704 (1536) 3530 (826) 
     3      3           л      10  1199 1269 (70) 3139 (1870) 
     3      5          ла       5  1200 1270 (70) 3170 (1900) 3285 (115) 5255 (1970) 
     3      7         ает       5  1202 1597 (395) 1622 (25) 2712 (1090) 4372 (1660) 4537 (165) 4752 (215) 
     3      4         рку       5  1216 1841 (625) 2786 (945) 3356 (570) 
     3      4         куб       5  1217 1842 (625) 2787 (945) 3357 (570) 
     3      3         м о      17  1321 2970 (1649) 4466 (1496) 
     3      3          св       3  1331 2600 (1269) 3350 (750) 
     3      3         в а       8  1333 4181 (2848) 4349 (168) 
     3      3          к        5  1348 3713 (2365) 4793 (1080) 
     3      3         сад      10  1370 1540 (170) 3910 (2370) 
     3      3         дви      10  1372 1542 (170) 3912 (2370) 
     3      3         в з       9  1380 3027 (1647) 5412 (2385) 
     3      3         ро        2  1420 3378 (1958) 4928 (1550) 
     3      3         а з      10  1507 3837 (2330) 3977 (140) 
     3      3         ит        2  1512 1748 (236) 2318 (570) 
     3      3         .
о       5  1518 2823 (1305) 4388 (1565) 
     3      3         мос       5  1522 4392 (2870) 5227 (835) 
     3      3         т ы       8  1559 3631 (2072) 4759 (1128) 
     3      4         рае       5  1596 1621 (25) 2711 (1090) 4371 (1660) 
     3      3         онл      40  1608 1808 (200) 2568 (760) 
     3      3         € а       5  1628 3823 (2195) 5463 (1640) 
     3     15         а н       5  1672 1797 (125) 1857 (60) 1867 (10) 1937 (70) 1947 (10) 2322 (375) 3172 (850) 3287 (115) 4252 (965) 4462 (210) 4507 (45) 5257 (750) 5312 (55) 5342 (30) 
     3      3          ь.       5  1702 3527 (1825) 3832 (305) 
     3      3         т э       5  1772 4157 (2385) 5142 (985) 
     3      3         ?         5  1781 4921 (3140) 5016 (95) 
     3      3         нли       2  1809 3655 (1846) 4405 (750) 
     3      3         лио      12  1810 2014 (204) 2278 (264) 
     3      3         и у       5  1838 2783 (945) 2878 (95) 
     3      3          о,      15  1872 2637 (765) 5127 (2490) 
     3      3         о е       5  1878 3448 (1570) 5133 (1685) 
     3      4         ла        5  1911 3171 (1260) 3286 (115) 5256 (1970) 
     3      4         а ƒ       5  1912 2127 (215) 2717 (590) 4377 (1660) 
     3      4          ƒн       5  1913 2128 (215) 2718 (590) 4378 (1660) 
     3      4         ƒни       5  1914 2129 (215) 2719 (590) 4379 (1660) 
     3      4         одс       5  1917 2132 (215) 2722 (590) 4382 (1660) 
